Symbol,CAGR,Sharpe,MaxDD,Final_Equity,Trades,Signal-to-Profit
CTAS,0.27798622267502826,1.5033068763273618,-0.2965441836820649,14.393059628295052,34,0.9117647058823529
STZ,0.22764906464383228,1.0950929620457042,-0.25519937952902894,9.298557807154832,34,0.9117647058823529
CRM,0.21201548094382705,0.8368470118785892,-0.34488622697589955,8.089119468412553,44,0.7727272727272727
UNH,0.20966768494138988,1.1612208914446025,-0.22529106904248586,7.920380834584597,49,0.9183673469387755
APH,0.20148257816870485,1.0795981836515318,-0.2439826394648632,7.356798399303805,33,0.8484848484848485
HUM,0.19304838292154414,0.930006006492607,-0.35145487369403083,6.8143872343429255,45,0.8444444444444444
AMZN,0.19095826909540614,0.8525912065056442,-0.321217681316205,6.685711680161125,40,0.8
V,0.18863820896079453,1.06236172254211,-0.1960984105795388,6.545466489692389,42,0.8333333333333334
CI,0.1862388690840706,0.9678218622224256,-0.3741839438294202,6.403243603107121,40,0.825
BKNG,0.18448195037797666,0.7251130207076955,-0.427830219311083,6.300886840375126,36,0.8333333333333334
MA,0.17961458006927256,0.941956191492018,-0.25246557195497876,6.025028503182109,41,0.8292682926829268
AXP,0.1789112278501901,0.9372049542497678,-0.45794887990148536,5.986086015565726,36,0.9722222222222222
NVDA,0.17857743538317017,0.6383375920326332,-0.6439153009140377,5.967685026215457,35,0.7428571428571429
VRSN,0.17224578218830056,0.85491454338662,-0.310100979275173,5.628225037034529,35,0.8857142857142857
EA,0.17064523562526812,0.6983072352423761,-0.5485155865070184,5.545238852027953,36,0.8055555555555556
INTU,0.16993241650799074,0.9401777770402925,-0.28550988306827185,5.508639024774465,44,0.8409090909090909
ICE,0.16534916979565706,0.9713335426313673,-0.23530616885117617,5.278502954676701,41,0.8536585365853658
CSX,0.16332663598973607,0.7918485628671705,-0.30682520752853126,5.1797516520831035,37,0.8108108108108109
VFC,0.15948094351066633,0.7911814107826537,-0.2988980986197858,4.996597620790794,37,0.7567567567567568
ROST,0.15888126456202145,0.7354925761396035,-0.5156287666323391,4.96857357679317,30,0.8
PWR,0.15566305864935348,0.6825162138100344,-0.4531724309533868,4.820604347520811,38,0.7105263157894737
FISV,0.15137563410119403,0.8393280585181864,-0.3767705536377606,4.6296902366319825,39,0.8461538461538461
ORLY,0.1505739591787616,0.7436289632597526,-0.41653177747939973,4.594764081545187,37,0.8378378378378378
EBAY,0.14985807572117116,0.7295044299396787,-0.28174085593963283,4.563777955530653,40,0.675
NKE,0.14851130419888237,0.80117696206713,-0.39491343826527003,4.505998358234418,40,0.8
DHI,0.1471707580742887,0.6229124249677822,-0.43881335779955954,4.44914625950992,33,0.7272727272727273
LMT,0.14439957397994396,1.0363073714277014,-0.22413132161182026,4.333680988577895,40,0.875
COST,0.14393074236679904,0.9424559676419554,-0.19538718996718518,4.314417818140313,45,0.8222222222222222
MSFT,0.1415747879942899,0.8610784108379841,-0.2084999160807497,4.218789061755393,40,0.8
UNP,0.13981941890057126,0.7372236800376211,-0.39077942503246743,4.148793942082409,38,0.8947368421052632
ADBE,0.1395191464621981,0.6593895453521998,-0.40739198931536724,4.136926795908988,43,0.813953488372093
ANTM,0.1366808446607477,0.6437844508464424,-0.5101573277686091,4.02626657760186,39,0.8717948717948718
MS,0.13508969253184122,0.5891996407107256,-0.50612681961089,3.9654129265862896,27,0.7777777777777778
KLAC,0.13396042084644133,0.6310550582231836,-0.37449446193334734,3.9227319165804584,38,0.7894736842105263
CMCSA,0.13243354429350718,0.7576399273785801,-0.32296120626731417,3.865686630152187,51,0.7843137254901961
ROP,0.12847449921394571,0.8519560590358523,-0.1840958162476375,3.7212649142483967,39,0.8461538461538461
BF-B,0.12745088953648342,0.72654301274605,-0.3503843807160478,3.684730741868034,41,0.8536585365853658
TMO,0.12451898336730616,0.6702672707908948,-0.2511819627475651,3.5818816663186306,40,0.775
PHM,0.1240219283129731,0.5193598054188812,-0.7381565264699128,3.56470609211983,21,0.8095238095238095
