date,cash,holdings_value,equity,n_positions
2010-01-04,10000.0,0.0,10000.0,0
2010-01-05,10000.0,0.0,10000.0,0
2010-01-06,10000.0,0.0,10000.0,0
2010-01-07,10000.0,0.0,10000.0,0
2010-01-08,10000.0,0.0,10000.0,0
2010-01-11,10000.0,0.0,10000.0,0
2010-01-12,10000.0,0.0,10000.0,0
2010-01-13,10000.0,0.0,10000.0,0
2010-01-14,10000.0,0.0,10000.0,0
2010-01-15,10000.0,0.0,10000.0,0
2010-01-19,10000.0,0.0,10000.0,0
2010-01-20,10000.0,0.0,10000.0,0
2010-01-21,10000.0,0.0,10000.0,0
2010-01-22,10000.0,0.0,10000.0,0
2010-01-25,10000.0,0.0,10000.0,0
2010-01-26,10000.0,0.0,10000.0,0
2010-01-27,10000.0,0.0,10000.0,0
2010-01-28,10000.0,0.0,10000.0,0
2010-01-29,10000.0,0.0,10000.0,0
2010-02-01,10000.0,0.0,10000.0,0
2010-02-02,10000.0,0.0,10000.0,0
2010-02-03,10000.0,0.0,10000.0,0
2010-02-04,10000.0,0.0,10000.0,0
2010-02-05,10000.0,0.0,10000.0,0
2010-02-08,10000.0,0.0,10000.0,0
2010-02-09,10000.0,0.0,10000.0,0
2010-02-10,10000.0,0.0,10000.0,0
2010-02-11,10000.0,0.0,10000.0,0
2010-02-12,10000.0,0.0,10000.0,0
2010-02-16,10000.0,0.0,10000.0,0
2010-02-17,4000.0,6000.0,10000.0,30
2010-02-18,178.752166854601,9877.163183528028,10055.91535038263,49
2010-02-19,178.752166854601,9939.78267978355,10118.534846638151,49
2010-02-22,182.27572765498292,9913.555493167849,10095.831220822833,49
2010-02-23,387.2498537764511,9589.628910594362,9976.878764370813,48
2010-02-24,185.9342537636337,9879.845746877236,10065.780000640869,49
2010-02-25,185.9342537636337,9869.86503627332,10055.799290036954,49
2010-02-26,188.56485431748615,9894.19151682722,10082.756371144707,49
2010-03-01,188.56485431748615,10053.370439941506,10241.935294258992,49
2010-03-02,193.4290398098561,10074.216886628848,10267.645926438705,49
2010-03-03,193.4290398098561,10082.556500361088,10275.985540170945,49
2010-03-04,193.4290398098561,10129.131974140944,10322.5610139508,49
2010-03-05,193.4290398098561,10276.688402437707,10470.117442247563,49
2010-03-08,590.6335894778316,9880.092913666906,10470.726503144737,47
2010-03-09,803.5512877914928,9698.722393661435,10502.273681452929,46
2010-03-10,382.39223189640035,10160.6634316831,10543.0556635795,48
2010-03-11,170.30779516846437,10433.914041228334,10604.221836396799,49
2010-03-12,164.56712137846125,10443.049131604494,10607.616252982954,49
2010-03-15,164.56712137846125,10454.975872165864,10619.542993544324,49
2010-03-16,164.56712137846125,10547.996359724455,10712.563481102916,49
2010-03-17,149.4739885503409,10631.452792553398,10780.926781103739,49
2010-03-18,143.25937412267888,10663.748783342155,10807.008157464834,49
2010-03-19,351.7111305615848,10405.652227357907,10757.363357919492,48
2010-03-22,136.7900487125147,10673.199186426578,10809.989235139094,49
2010-03-23,138.44005614177178,10732.62472871137,10871.06478485314,49
2010-03-24,1441.3821838658416,9365.066578058868,10806.44876192471,43
2010-03-25,2119.448704569368,8673.032295534527,10792.481000103895,40
2010-03-26,1257.2336926120538,9520.453956854371,10777.687649466425,44
2010-03-29,422.1374088796076,10419.367920336028,10841.505329215635,48
2010-03-30,431.93897090977896,10409.463888999542,10841.402859909322,48
2010-03-31,1841.7837601581905,8967.276518010198,10809.060278168388,42
2010-04-01,107.61946427257118,10774.740485204455,10882.359949477026,50
2010-04-05,107.61946427257118,10863.600761015337,10971.220225287909,50
2010-04-06,116.99126370430298,10876.887718529619,10993.878982233922,50
2010-04-07,589.090101124822,10350.678941505736,10939.769042630558,48
2010-04-08,381.255779248738,10563.387812180961,10944.6435914297,49
2010-04-09,168.995451111814,10833.025388758246,11002.02083987006,50
2010-04-12,168.995451111814,10844.19544518317,11013.190896294984,50
2010-04-13,168.995451111814,10840.201021069885,11009.196472181698,50
2010-04-14,174.80754261236345,10920.620927699238,11095.4284703116,50
2010-04-15,185.30380863143853,10882.985547152364,11068.289355783803,50
2010-04-16,193.88971387887108,10732.488713003884,10926.378426882755,50
2010-04-19,230.3194341355404,10708.772539003174,10939.091973138715,50
2010-04-20,8.880757232998548,11063.053087894094,11071.933845127092,51
2010-04-21,8.880757232998548,11026.275632803867,11035.156390036866,51
2010-04-22,8.880757232998548,11119.46996104089,11128.350718273889,51
2010-04-23,20.483962233236014,11234.947607793978,11255.431570027215,51
2010-04-26,35.275650135512166,11162.79490754733,11198.070557682842,51
2010-04-27,1908.4378586163757,9054.744790967568,10963.182649583945,43
2010-04-28,151.98509702357032,10856.519749413126,11008.504846436697,51
2010-04-29,151.98509702357032,10932.915127652828,11084.9002246764,51
2010-04-30,151.98509702357032,10804.300211517673,10956.285308541244,51
